topic 0
bootstrap : 0.0035520004803
Sass : 0.00242342077766

topic 19
Windows : 0.00886962841992
Mac : 0.00514671010597
VisualStudio : 0.00390573733465
PHP : 0.00266476456334
bat : 0.00235452137051
C# : 0.00235452137051
PowerShell : 0.00235452137051
Linuxコマンド : 0.00235452137051
Bitcoin : 0.00204427817768
VisualStudioCode : 0.00204427817768

topic 20
Swift : 0.0666389489434
iOS : 0.0397624942097
Xcode : 0.00826213328535
Objective-C : 0.00710615673766
python3 : 0.00306023882077
Python : 0.00277124468384
PyQt5 : 0.00248225054692
RxSwift : 0.00219325641
GUI : 0.00219325641
Windows8.1 : 0.00219325641

topic 21
JavaScript : 0.0177745920151
Go : 0.00613109150748
Node.js : 0.00499514023845
golang : 0.00357520115216
Swift : 0.00300722551764
iOS : 0.00243924988313
Rails : 0.00243924988313
Windows : 0.00243924988313
Java : 0.00243924988313
新人プログラマ応援 : 0.00243924988313

topic 22
WebGL : 0.0106213578047
three.js : 0.00605853759917
数学 : 0.00508079041228
3D : 0.00377712749643
機械学習 : 0.00214754885161
GLSL : 0.00214754885161
jsdo : 0.00214754885161
shadertoy : 0.00214754885161
線形代数 : 0.00214754885161
Mithril.js : 0.00214754885161

topic 23
TechEnglish : 0.0111879308273
Emacs : 0.00352708082118
Mac : 0.00352708082118
Hercules : 0.0015285982109
システム生成 : 0.0015285982109
メインフレーム : 0.0015285982109
font : 0.0015285982109
SYSGEN : 0.0015285982109
Elm : 0.00119551777585
さくらのクラウド : 0.000862437340806

topic 24
Apache : 0.00992662437161
Heroku : 0.00772694212766
api : 0.00615574052484
linebot : 0.00489877924258
Ruby : 0.00458453892202
Sinatra : 0.0030133373192
どう書く : 0.00238485667807
Slack : 0.00238485667807
Android : 0.0020706163575
solr : 0.00175637603694

topic 25
Bash : 0.0190804803941
Linux : 0.0184707759379
Mac : 0.00780094795441
shell : 0.00688639127011
ShellScript : 0.00566698235771
シェルスクリプト : 0.00322816453291
PostgreSQL : 0.00261846007671
コマンド : 0.00261846007671
Linuxコマンド : 0.00231360784861
Android : 0.00200875562051

topic 26
最適化 : 0.00193918728739
シストレ : 0.00124529165
Python : 0.00124529165
pandas : 0.00124529165
Jupyter : 0.000898343831304
DB : 0.000898343831304
Bluemix : 0.000898343831304
組合せ最適化 : 0.000898343831304
FX : 0.000898343831304
Go : 0.00055139601261

topic 27
reactjs : 0.0246614270947
redux : 0.0169149604282
JavaScript : 0.0159853844282
